,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
31,931701,2036747,3095418,4246180,5111139,6292630,7379630,8261969,9199611,10222849,11049525,12202644,13411556,14610887,15827071,16722784,17694391,18547595,19364589,20118236,20907677,21596053,22342986,23068665,23903644,24586815,25248731,25889393,26508801,27100152,27424443,28188918,28675077,29284558,29698876,30015003,30342607,30770727,31177593,31563205,31836755,32127069,32581382,32881977,33161318,33419404,33775005,33990583,34184907,34430373,34311322,34441884,34540275,34628328,34493469,34539014,34563305,34767465,34866321,34786433,34725707,34422309,34319074,34194586,34048843,33941699,33753448,33515091,33160265,32908251,32799042,32504519,32420228,32083197,31430061,31050522,30584557,30162509,29542122,29077566,28591756,28084692,27410105
32,1048394,2140729,3371346,4548222,5495482,6516785,7309685,8394038,9401484,10320443,11270074,12053765,13174939,13771605,14890460,15715897,16521747,17413426,17916935,18664025,19391528,20101463,20789793,21203344,21929621,22291363,23033041,23623438,23934866,24486090,25017727,25796033,26089684,26692086,26888562,27322266,27737536,28222325,28620102,29105767,29289139,29819424,30116021,30244980,30526648,30657337,30830514,31085896,31358873,31518364,31403790,31524108,31816044,32126250,32156495,32198466,32220851,32223649,32251925,32215550,32159588,32084039,31988904,32132601,31998293,31859312,31467872,31345250,31132595,30900354,30659090,30484497,30193496,29904007,29478147,29109570,28584274,28195340,27926575,27692581,27244886,26590748,26103880
33,1018829,2081027,3034466,4018037,4965548,5895229,6554140,7448162,8324355,9182718,10267261,11114776,11866608,12653653,13504192,14255579,14868171,15774013,16479202,17119267,17537658,18182067,19000055,19511710,20102631,20582529,21137790,21661810,22175013,22676786,22936297,23402412,23850696,24270462,24683088,25077884,25318104,25677241,25938795,26515452,26602993,26658575,26730481,26982641,27044411,27304134,27312981,27358786,27415509,27609831,27608494,27727838,27819533,27663196,27638369,27475782,27640544,27411056,27619730,27615650,27691664,27614502,27527901,27423471,27164449,26971105,26813187,26630276,26436698,26244783,25854261,25804377,25705383,25610990,25310436,24827972,24298971,24074391,23503315,23113613,22890164,22302591,21993844
34,1007400,2133638,3105780,3991816,4682336,5601588,6386174,7488836,8282406,9131141,9798123,10766024,11658239,12390075,12979674,13722632,14574300,15203061,15893131,16565570,17424624,18061805,18803301,19633978,20411947,20789902,21268660,21785277,22179482,22503904,23027769,23488655,23931911,24480445,25052814,25350905,25723644,26078752,26416231,26736081,27032207,27316797,27529005,27778336,28039274,28253346,28220485,28391252,28732327,28954250,29080402,29188698,29179900,29442650,29573813,29611590,29631738,29634257,29619146,29402731,29352360,29412819,29329710,29452482,29331594,29193076,28926692,28752916,28561510,28352474,28064224,27968260,27852165,27572611,27189785,26874972,26291152,26045196,25791938,25338619,24813011,24624617,23944335
35,982102,1947017,2894745,3986587,4767207,5490684,6134735,6996529,7928335,8601418,9253079,10046126,10776316,11657355,12473121,13391373,14098487,14788413,15461153,16216169,16911807,17743340,18407582,18994388,19581769,20163208,20616187,21101722,21366353,21850038,22206564,22655875,23147485,23562423,23960175,24325472,24550370,24750293,24885902,25319928,25673818,25740985,25782247,26025317,26428691,26552593,26654325,27033935,27191071,27088712,27133872,27210734,27352388,27205448,27259463,27296292,27315934,27265291,27493349,27493126,27434499,27368207,27424266,27212255,27140973,26814201,26883450,26757805,26439679,26289813,26068840,25802958,25547611,25305936,24878017,24713663,24389569,23925078,23689594,23507105,23016238,22606211,22178997
36,999549,1981605,2946169,3874235,4797158,5859952,6754548,7478739,8338351,9266236,9940517,10504684,11294327,12066479,12821138,13572801,14123285,14825468,15476370,16066033,16887649,17519864,18134586,18670013,19045520,19767228,20104135,20694627,21204396,21696674,22171460,22628753,23068555,23490864,23988361,24575957,24961679,25465987,25823211,26140567,26620227,26902600,27167480,27414868,27702280,27930617,28125529,28302949,28462877,28559211,28727619,28964030,29053989,29101262,29111693,29108268,29202269,29204768,29177023,29102980,29053002,28985533,29055675,28953221,28905012,28568767,28352119,28071210,27881296,27820271,27399777,27319525,27246124,26882335,26698718,26386359,26040786,25533646,25418494,25036166,24636347,24089954,23655150
37,923771,1831375,2950847,3761712,4429737,5281349,6252250,6906242,7700685,8478962,9016510,9549134,10278913,10992526,11556124,12096086,12829191,13478139,14319127,15088514,15688964,16273249,16768781,17539092,18074879,18594500,18940760,19458958,20055778,20329760,20840521,21470598,21877057,22267350,22641478,22999439,23327571,23673701,24064873,24358170,24429545,24758332,24920995,25149628,25230394,25439270,25718172,26041995,25965732,26029614,26295631,26398259,26481398,26672498,26757941,26792582,26806521,26808830,26720088,26690065,26650729,26794524,26764993,26619359,26615410,26307128,26174104,26044118,26083598,25962518,25834237,25621758,25310533,25099742,24865795,24577116,24066353,23793471,23456295,23078482,22667181,22501376,22224246
38,912342,1868472,2567262,3309598,4158076,4773579,5590125,6390706,6988056,7968702,8721384,9288694,10009444,10593198,11304507,11770546,12427432,13068353,13499311,14108300,14853765,15430822,16102175,16766178,17295337,17728102,18088350,18569611,19034905,19599222,19815409,20232805,20526027,21000389,21161356,21372370,21709937,22054443,22267418,22557087,22883379,22971320,23150462,23304344,23687820,23881692,23963787,24150537,24296512,24505504,24664204,24759224,24929501,24995646,25045825,25080038,25076685,25022761,24994405,25169810,25307697,25246114,25168565,24929671,24898208,24864236,24708772,24551393,24378048,24098831,23815810,23594567,23316713,23086287,22664580,22495309,22231811,21949140,21616135,21267164,20764186,20506005,20109136
39,930512,1736385,2618487,3419507,4362204,5130469,5884000,6622797,7346860,8056190,8579457,9050154,9923009,10648364,11075490,11696416,12302608,12894067,13470792,14032783,14468529,15023338,15680926,16183981,16681032,17031304,17326642,17604854,17989505,18386814,18786733,19171918,19542369,19898086,20370221,20657753,20969268,21266050,21459096,21851140,22151909,22307136,22395292,22603671,22805947,22984858,23323896,23513107,23647817,23767792,23777559,24068595,24238524,24201438,24147997,24291115,24413643,24287987,24189838,24162475,23933326,23760414,23576362,23421006,23444786,23329020,23254167,23312073,23152105,22995112,22980013,22923246,22805423,22424559,22007295,21744191,21275559,21019046,20711740,20211896,19722765,19259988,18727618
40,936555,1787455,2691231,3400328,4271324,5125931,6017323,6738020,7653534,8637851,9283657,9960893,10869142,11670795,12377894,13080519,13819193,14468869,15110409,15568224,16319521,16911892,17410948,17890365,18446420,19203503,19580143,20074176,20648185,21107918,21531414,21951203,22582206,22754252,22963943,23554359,23900884,24247551,24605434,25022541,25530402,25936533,26030205,26262003,26478930,26815257,27011335,27008504,26940109,27073568,27088884,27307385,27391675,27491652,27574312,27484351,27399059,27298783,27425090,27314671,27096402,27033184,26957787,27083000,26753611,26685237,26577742,26402930,26298318,26292708,26107646,25880531,25637027,25377133,25100849,24914997,24605934,24280481,23895596,23348173,22973551,22520606,21998456
